r,u,omega
0.850000,0.540000,0.854167
0.850000,0.540000,0.854167
0.850000,0.540000,0.854167
0.850000,0.540000,0.847222
0.850000,0.540000,0.847222
0.850000,0.540000,0.847222
0.850000,0.540000,0.847222
0.840000,0.540000,0.847222
0.840000,0.540000,0.840278
0.840000,0.540000,0.840278
0.840000,0.540000,0.840278
0.840000,0.540000,0.833333
0.840000,0.540000,0.840278
0.840000,0.540000,0.840278
0.830000,0.530000,0.833333
0.830000,0.530000,0.833333
0.830000,0.530000,0.833333
0.830000,0.530000,0.826389
0.830000,0.530000,0.833333
0.830000,0.530000,0.833333
0.830000,0.530000,0.826389
0.830000,0.530000,0.826389
0.820000,0.530000,0.826389
0.820000,0.530000,0.819444
0.820000,0.530000,0.826389
0.820000,0.530000,0.826389
0.820000,0.530000,0.819444
0.820000,0.530000,0.819444
0.820000,0.530000,0.812500
0.820000,0.520000,0.819444
0.820000,0.520000,0.812500
0.810000,0.520000,0.819444
0.810000,0.520000,0.812500
0.810000,0.520000,0.812500
0.810000,0.520000,0.805556
0.810000,0.520000,0.805556
0.810000,0.520000,0.812500
0.810000,0.520000,0.805556
0.810000,0.520000,0.805556
0.800000,0.520000,0.805556
0.800000,0.520000,0.798611
0.800000,0.520000,0.798611
0.800000,0.520000,0.798611
0.800000,0.520000,0.805556
0.800000,0.520000,0.798611
0.800000,0.520000,0.798611
0.810000,0.510000,0.791667
0.810000,0.510000,0.791667
0.810000,0.510000,0.791667
0.810000,0.510000,0.798611
0.810000,0.510000,0.791667
0.810000,0.510000,0.791667
0.810000,0.520000,0.791667
0.810000,0.520000,0.784722
0.810000,0.520000,0.791667
0.820000,0.520000,0.784722
0.820000,0.520000,0.798611
0.820000,0.520000,0.791667
0.820000,0.520000,0.784722
0.820000,0.520000,0.791667
0.820000,0.520000,0.791667
0.820000,0.520000,0.791667
0.820000,0.520000,0.798611
0.830000,0.520000,0.798611
0.830000,0.520000,0.791667
0.830000,0.520000,0.798611
0.830000,0.530000,0.798611
0.830000,0.530000,0.798611
0.830000,0.530000,0.805556
0.830000,0.530000,0.805556
0.840000,0.530000,0.805556
0.840000,0.530000,0.805556
0.840000,0.530000,0.805556
0.840000,0.530000,0.812500
0.840000,0.530000,0.812500
0.840000,0.530000,0.819444
0.840000,0.540000,0.812500
0.840000,0.540000,0.819444
0.850000,0.540000,0.819444
0.850000,0.540000,0.819444
0.850000,0.540000,0.826389
0.850000,0.540000,0.826389
0.850000,0.540000,0.826389
0.850000,0.540000,0.826389
0.850000,0.540000,0.833333
0.850000,0.540000,0.826389
0.860000,0.540000,0.833333
0.860000,0.540000,0.840278
0.860000,0.550000,0.840278
0.860000,0.550000,0.840278
0.860000,0.550000,0.840278
0.860000,0.550000,0.840278
0.860000,0.550000,0.840278
0.860000,0.550000,0.854167
0.870000,0.550000,0.847222
0.870000,0.550000,0.847222
0.870000,0.550000,0.847222
0.870000,0.550000,0.847222
0.870000,0.550000,0.854167
0.870000,0.550000,0.861111
0.870000,0.550000,0.854167
0.870000,0.560000,0.854167
0.880000,0.560000,0.861111
0.880000,0.560000,0.854167
0.880000,0.560000,0.868056
0.880000,0.560000,0.868056
0.880000,0.560000,0.861111
0.880000,0.560000,0.868056
0.880000,0.560000,0.868056
0.880000,0.560000,0.868056
0.880000,0.560000,0.875000
0.890000,0.560000,0.868056
0.890000,0.560000,0.875000
0.890000,0.560000,0.875000
0.890000,0.560000,0.875000
0.890000,0.570000,0.875000
0.890000,0.570000,0.888889
0.890000,0.570000,0.875000
0.890000,0.570000,0.881944
0.900000,0.570000,0.881944
0.900000,0.570000,0.881944
0.900000,0.570000,0.888889
0.900000,0.570000,0.895833
0.900000,0.570000,0.888889
0.900000,0.570000,0.888889
0.900000,0.570000,0.888889
0.900000,0.570000,0.888889
0.910000,0.570000,0.902778
0.910000,0.570000,0.895833
0.910000,0.580000,0.895833
0.910000,0.580000,0.895833
0.910000,0.580000,0.902778
0.910000,0.580000,0.902778
0.910000,0.580000,0.909722
0.920000,0.580000,0.902778
0.920000,0.580000,0.902778
0.920000,0.580000,0.902778
0.920000,0.580000,0.909722
0.920000,0.580000,0.916667
0.920000,0.580000,0.909722
0.920000,0.580000,0.916667
0.920000,0.580000,0.909722
0.930000,0.580000,0.916667
0.930000,0.580000,0.916667
0.930000,0.590000,0.923611
0.930000,0.590000,0.916667
0.930000,0.590000,0.916667
0.930000,0.590000,0.923611
0.930000,0.590000,0.923611
0.930000,0.590000,0.930556
0.940000,0.590000,0.923611
0.940000,0.590000,0.930556
0.940000,0.590000,0.923611
0.940000,0.590000,0.930556
0.940000,0.590000,0.930556
0.940000,0.590000,0.937500
0.940000,0.590000,0.937500
0.940000,0.590000,0.930556
0.940000,0.590000,0.937500
0.950000,0.600000,0.937500
0.950000,0.600000,0.944444
0.950000,0.600000,0.944444
0.950000,0.600000,0.937500
0.950000,0.600000,0.944444
0.950000,0.600000,0.944444
0.950000,0.600000,0.951389
0.950000,0.600000,0.951389
0.960000,0.600000,0.944444
0.960000,0.600000,0.951389
0.960000,0.600000,0.951389
0.960000,0.600000,0.958333
0.960000,0.600000,0.958333
0.960000,0.600000,0.951389
0.960000,0.600000,0.958333
0.960000,0.610000,0.958333
0.970000,0.610000,0.958333
0.970000,0.610000,0.965278
0.970000,0.610000,0.958333
0.970000,0.610000,0.965278
0.970000,0.610000,0.965278
0.970000,0.610000,0.965278
0.970000,0.610000,0.972222
0.980000,0.610000,0.972222
0.980000,0.610000,0.965278
0.980000,0.610000,0.972222
0.980000,0.610000,0.972222
0.980000,0.610000,0.979167
0.980000,0.610000,0.979167
0.980000,0.610000,0.972222
0.980000,0.620000,0.979167
0.990000,0.620000,0.979167
0.990000,0.620000,0.986111
0.990000,0.620000,0.979167
0.990000,0.620000,0.986111
0.990000,0.620000,0.979167
0.990000,0.620000,0.986111
0.990000,0.620000,0.993056
0.990000,0.620000,0.993056
1.000000,0.620000,0.986111
1.000000,0.620000,0.986111
1.000000,0.620000,0.993056
1.000000,0.620000,1.000000
1.000000,0.620000,1.000000
1.000000,0.620000,0.993056
1.000000,0.630000,1.000000
1.000000,0.630000,0.993056
1.000000,0.630000,1.006944
1.010000,0.630000,1.006944
1.010000,0.630000,1.000000
1.010000,0.630000,1.006944
1.010000,0.630000,1.000000
1.010000,0.630000,1.013889
1.010000,0.630000,1.006944
1.010000,0.630000,1.013889
1.010000,0.630000,1.006944
1.020000,0.630000,1.013889
1.020000,0.630000,1.013889
1.020000,0.630000,1.020833
1.020000,0.630000,1.013889
1.020000,0.640000,1.013889
1.020000,0.640000,1.020833
1.020000,0.640000,1.020833
1.020000,0.640000,1.020833
1.030000,0.640000,1.020833
1.030000,0.640000,1.027778
1.030000,0.640000,1.020833
1.030000,0.640000,1.034722
1.030000,0.640000,1.027778
1.030000,0.640000,1.027778
1.030000,0.640000,1.027778
1.030000,0.640000,1.034722
1.040000,0.640000,1.034722
1.040000,0.640000,1.034722
1.040000,0.640000,1.034722
1.040000,0.640000,1.034722
1.040000,0.650000,1.041667
1.040000,0.650000,1.041667
1.040000,0.650000,1.041667
1.040000,0.650000,1.034722
1.050000,0.650000,1.041667
1.050000,0.650000,1.048611
1.050000,0.650000,1.048611
1.050000,0.650000,1.048611
1.050000,0.650000,1.048611
1.050000,0.650000,1.048611
1.050000,0.650000,1.055556
1.050000,0.650000,1.055556
1.060000,0.650000,1.048611
1.060000,0.650000,1.055556
1.060000,0.650000,1.055556
1.060000,0.660000,1.062500
1.060000,0.660000,1.055556
1.060000,0.660000,1.062500
1.060000,0.660000,1.055556
1.060000,0.660000,1.069444
1.070000,0.660000,1.069444
1.070000,0.660000,1.062500
1.070000,0.660000,1.062500
1.070000,0.660000,1.069444
1.070000,0.660000,1.069444
1.070000,0.660000,1.076389
1.070000,0.660000,1.069444
1.080000,0.660000,1.069444
1.080000,0.660000,1.069444
1.080000,0.660000,1.083333
1.080000,0.660000,1.076389
1.080000,0.670000,1.076389
1.080000,0.670000,1.076389
1.080000,0.670000,1.083333
1.080000,0.670000,1.083333
1.090000,0.670000,1.083333
1.090000,0.670000,1.083333
